cumulative_supply,cumulative_tvl_usd,day,net_flow,net_flow_usd,supply_amount,supply_amount_usd,withdraw_amount,withdraw_amount_usd
11203.157919,11216.881787450775,2024-01-05,7203.157802999999,7211.981671308675,11203.157919,11216.881787450775,4000.000116,4004.9001161421
11203.157919,11216.881787450775,2024-01-06,0.0,0.0,0.0,0.0,0.0,0.0
11203.157919,11216.881787450775,2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0
11203.157919,11216.881787450775,2024-01-08,-1e-06,-1.00115e-06,0.0,0.0,1e-06,1.00115e-06
593994.711289,594271.856939574,2024-01-09,582773.153158,583036.5666232274,582791.55337,583054.9751521233,18.400212,18.408528895824
7295816.042462999,7308002.324619069,2024-01-10,-22326745.070947,-22366419.696938068,6701821.331173999,6713730.467679495,29028566.402121,29080150.164617565
9624537.572207,9637883.557684882,2024-01-11,-2386586.9677760005,-2387775.4880859507,2328721.529744,2329881.233065813,4715308.497520001,4717656.721151764
12091392.798845,12106223.831169317,2024-01-12,-6499340.516668999,-6503253.119660035,2466855.2266379995,2468340.2734844354,8966195.743306998,8971593.39314447
37783574.05581504,37846911.926352486,2024-01-13,-4001816.110497974,-4009371.5393146016,25692181.256970037,25740688.09518317,29693997.36746801,29750059.634497773
38365042.56232704,38431389.532385685,2024-01-14,-962294.5047360001,-967274.3787980084,581468.5065119999,584477.6060331997,1543763.011248,1551751.9848312081
51169723.15459703,51255712.50468421,2024-01-15,-7152293.350278012,-7163264.96827732,12804680.592269983,12824322.972298529,19956973.942547996,19987587.94057585
53551293.572153024,53640009.82036831,2024-01-16,-8032392.251724003,-8041589.340852225,2381570.417555997,2384297.3156841,10413962.66928,10425886.656536326
57158558.04259103,57251332.46333555,2024-01-17,-3690357.094221997,-3694508.745953005,3607264.4704380017,3611322.642967242,7297621.564659999,7305831.388920247
99111159.37699685,99246683.49850136,2024-01-18,-13009675.041181274,-13022931.90004801,41952601.33440582,41995351.03516582,54962276.37558709,55018282.93521383
244228585.24786088,244535493.0493186,2024-01-19,-169240402.90074462,-169440275.81657153,145117425.87086403,145288809.55081725,314357828.77160865,314729085.3673888
279912945.5511249,280282051.19259125,2024-01-20,-53922131.492907986,-54016117.7681001,35684360.30326399,35746558.14327262,89606491.79617198,89762675.91137272
340518940.53782886,341003379.3877549,2024-01-21,-83411163.48220399,-83569894.92631072,60605994.986704,60721328.195163645,144017158.46890798,144291223.12147436
348708017.72341686,349203921.28140277,2024-01-22,-5024768.695920992,-5031803.372095287,8189077.185588001,8200541.893647829,13213845.881508993,13232345.265743116
440511597.3194569,441095999.5281732,2024-01-23,-32549420.135271877,-32580797.77628246,91803579.59604003,91892078.24677047,124352999.7313119,124472876.02305293
555676084.4226829,556368510.920302,2024-01-24,20001767.348454013,20020529.006226897,115164487.10322604,115272511.39212885,95162719.75477202,95251982.38590196
555739065.6633769,556431556.1499366,2024-01-25,-141007.00858,-141150.27170071728,62981.240694,63045.229634545096,203988.249274,204195.50133526238
556033215.0310489,556725934.659966,2024-01-26,-106506.83180799993,-106589.80062997842,294149.3676720001,294378.51002941653,400656.19948,400968.31065939495
556033215.0310489,556725934.659966,2024-01-27,-1001.411878,-1002.165941144134,0.0,0.0,1001.411878,1002.165941144134
556114762.9708409,556807515.8713174,2024-01-28,-120291.028064,-120340.1068034501,81547.939792,81581.21135143514,201838.967856,201921.31815488523
556349066.927419,557041988.2924402,2024-01-29,217833.43412199998,217990.0563611337,234303.95657799998,234472.42112277955,16470.522456,16482.364761645862
556349067.927419,557041989.2934282,2024-01-30,1.0,1.000988,1.0,1.000988,0.0,0.0
557399823.5109949,558093255.5442178,2024-01-31,-1842497.3383199999,-1843392.7920264232,1050755.583576,1051266.250789618,2893252.921896,2894659.042816041
558043341.5109949,558736986.5486758,2024-02-01,640598.366854,640810.4049134288,643518.0,643731.0044580002,2919.633146,2920.599544571326
558262264.2277069,558956017.1942871,2024-02-02,55674.46531999999,55701.91283140273,218922.716712,219030.64561133902,163248.251392,163328.73277993628
558282500.4113019,558976278.1267346,2024-02-03,20236.183595,20260.932447536685,20236.183595,20260.932447536685,0.0,0.0
558340500.4113019,559034380.5547346,2024-02-04,-757615.502687,-758953.4516647451,58000.0,58102.42799999999,815615.502687,817055.8796647451
558405536.0075078,559099475.7235467,2024-02-05,-739699.5406300001,-740377.1054092171,65035.59620600001,65095.16881212469,804735.136836,805472.2742213417
558495536.0075078,559189516.0435468,2024-02-06,64802.731400000004,64831.76302366719,90000.0,90040.31999999999,25197.2686,25208.556976332802
558586359.6795058,559280332.3588274,2024-02-07,90823.671998,90816.31528056816,90823.671998,90816.31528056816,0.0,0.0
559309122.3249248,560003463.6131955,2024-02-08,722762.645419,723131.2543681636,722762.645419,723131.2543681636,0.0,0.0
559821603.6521498,560515968.5145615,2024-02-09,-216086.58675699995,-216096.5267399908,512481.327225,512504.90136605233,728567.913982,728601.4281060431
561576405.8511088,562271090.0875207,2024-02-10,1718717.681543,1719030.4881610407,1754802.198959,1755121.5729592105,36084.51741600001,36091.08479816971
562179712.9892728,562874190.8946434,2024-02-11,359542.26325200003,359419.29979796795,603307.138164,603100.8071227481,243764.87491199997,243681.50732478016
564585543.5517528,565280136.9369904,2024-02-12,-294004.4407920018,-294018.55300515797,2405830.5624799985,2405946.042346998,2699835.0032720002,2699964.595352156
565890671.8582128,566585002.9126608,2024-02-13,156080.06980499998,156048.69771096995,1305128.3064599999,1304865.9756704024,1149048.236655,1148817.2779594325
567641771.1990008,568335944.6545081,2024-02-14,1562918.4404279995,1562777.777768361,1751099.3407879993,1750941.7418473286,188180.90035999997,188163.96407896766
570285755.8053828,570980191.0153662,2024-02-15,2451651.407092,2451894.1205813023,2643984.606382,2644246.360858032,192333.19929,192352.24027672966
570649417.8718998,571343912.3588,2024-02-16,306146.479542,306196.38141816546,363662.06651699997,363721.34343384235,57515.58697500001,57524.96201567691
571188434.9347838,571883147.1845775,2024-02-17,514896.064116,515104.0821259029,539017.062884,539234.8257774052,24120.998767999998,24130.743651502275
571262363.5647758,571957093.483512,2024-02-18,36374.354988000014,36383.04845884213,73928.62999200002,73946.29893456808,37554.275004,37563.25047572595
573967366.2486708,574664246.6445408,2024-02-19,2581811.8140640003,2583864.354456181,2705002.6838950003,2707153.1610286967,123190.86983100002,123288.80657251563
574756385.4486709,575453749.5133104,2024-02-20,-2451172.9024360003,-2452675.4714251934,789019.2000000001,789502.8687696003,3240192.1024360005,3242178.3401947934
589373406.6175668,590079540.8949077,2024-02-21,-9963735.336000012,-9969713.577201609,14617021.168895995,14625791.381597333,24580756.504896007,24595504.95879894
589617821.7916908,590324121.7825198,2024-02-22,-250799.29547099996,-250969.33739332928,244415.174124,244580.88761205607,495214.469595,495550.22500538535
590468985.5224779,591176498.4216232,2024-02-23,-965981.019763,-967357.5427161623,851163.730787,852376.6391033716,1817144.75055,1819734.181819534
590847798.5870779,591555852.4312794,2024-02-24,363813.0646,364332.58965624886,378813.0646,379354.00965624885,15000.0,15021.420000000002
590857798.5870779,591565859.3712795,2024-02-25,-240935.539608,-241102.74887248792,10000.0,10006.94,250935.539608,251109.68887248792
591877998.5870779,592586289.9364794,2024-02-26,1020200.0,1020430.5652000001,1020200.0,1020430.5652000001,0.0,0.0
593594991.7310158,594303751.8195457,2024-02-27,1716993.143938,1717461.8830662952,1716993.143938,1717461.8830662952,0.0,0.0
594862929.3774219,595571454.8974872,2024-02-28,-443176.4885959998,-443094.5009456095,1267937.646406,1267703.077941415,1711114.1350019998,1710797.5788870244
595144516.4663159,595853176.0218354,2024-02-29,-818412.911106,-818802.4756516863,281587.088894,281721.1243483135,1100000.0,1100523.5999999999
595415091.5268779,596123796.8095827,2024-03-01,38943.19660399997,38949.77800422604,270575.06056199997,270620.787747235,231631.863958,231671.00974300894
596430630.4517128,597139948.1043894,2024-03-02,-1384461.0751649998,-1385295.9051933242,1015538.9248350001,1016151.2948066754,2400000.0,2401447.1999999997
598650742.4517128,599360570.7301494,2024-03-03,-2206070.711816,-2206578.1080797175,2220112.0,2220622.62576,4426182.711816,4427200.733839718
599115008.0975229,599824146.9414754,2024-03-04,384265.64581,383695.0113259722,464265.64581,463576.2113259722,80000.0,79881.2
600884653.1498928,601598405.4584969,2024-03-05,-3510968.5727650006,-3520121.6678341986,1769645.0523700002,1774258.517021529,5280613.625135001,5294380.1848557275
601134653.1498928,601848617.2084969,2024-03-06,-67007.33061299997,-67064.08582202921,250000.0,250211.75,317007.33061299997,317275.8358220292
601168064.9548428,601882041.1753439,2024-03-07,-340664.48622799997,-340788.4881009869,33411.80495,33423.9668470018,374076.291178,374212.45494798874
601468064.9548428,602182206.7753439,2024-03-08,300000.0,300165.60000000003,300000.0,300165.60000000003,0.0,0.0
601712785.7866918,602427099.4012169,2024-03-09,240720.831849,240889.817872958,244720.831849,244892.625872958,4000.0,4002.808
602175652.2945378,602890472.7478889,2024-03-10,-545978.6391700001,-546576.4857798913,462866.50784599996,463373.34667209134,1008845.147016,1009949.8324519825
603252306.7950608,603967884.1365258,2024-03-11,1076654.500523,1077411.3886368677,1076654.500523,1077411.3886368677,0.0,0.0
603807067.2079748,604522890.8630631,2024-03-12,-3498388.319098,-3499941.6035116804,554760.412914,555006.7265373338,4053148.732012,4054948.330049014
612675216.0695648,613394400.7530717,2024-03-13,6937023.115196999,6939652.246957654,8868148.861589998,8871509.890008537,1931125.7463929993,1931857.643050883
