date,tvl,apy,apy_base,apy_reward
2024-06-06,3516971,8.36551,8.36551,0
2024-06-07,3986529,7.16721,7.16721,0
2024-06-08,3511643,8.54485,8.54485,0
2024-06-09,3644283,7.27322,7.27322,0
2024-06-10,3648953,7.26876,7.26876,0
2024-06-11,4959646,6.72681,6.72681,0
2024-06-12,3577153,9.02971,9.02971,0
2024-06-13,4200621,7.10549,7.10549,0
2024-06-14,4000802,7.16329,7.16329,0
2024-06-15,3839356,7.21909,7.21909,0
2024-06-16,4272683,7.0545,7.0545,0
2024-06-17,3952355,7.1833,7.1833,0
2024-06-18,4077717,7.12641,7.12641,0
2024-06-19,4159860,7.09384,7.09384,0
2024-06-20,4565502,6.93333,6.93333,0
2024-06-21,5303006,6.61331,6.61331,0
2024-06-22,5827112,6.42242,6.42242,0
2024-06-23,5887041,6.41703,6.41703,0
2024-06-24,6750944,6.12329,6.12329,0
2024-06-25,7252094,5.8936,5.8936,0
2024-06-26,7401683,5.83823,5.83823,0
2024-06-27,7437692,5.83912,5.83912,0
2024-06-28,7461087,5.84404,5.84404,0
2024-06-29,6497492,6.22947,6.22947,0
2024-06-30,6180318,6.37095,6.37095,0
2024-07-01,7673886,5.85854,5.85854,0
2024-07-02,7523032,5.98207,5.98207,0
2024-07-03,9073034,5.48383,5.48383,0
2024-07-04,10111909,5.14444,5.14444,0
2024-07-05,11168586,4.71417,4.71417,0
2024-07-06,9184316,5.29078,5.29078,0
2024-07-07,8947236,5.32786,5.32786,0
2024-07-08,8728840,5.42363,5.42363,0
2024-07-09,8921670,5.37103,5.37103,0
2024-07-10,7201225,5.90982,5.90982,0
2024-07-11,7989953,5.61119,5.61119,0
2024-07-12,8702361,5.41773,5.41773,0
2024-07-13,8624826,5.44696,5.44696,0
2024-07-14,7817954,5.72767,5.72767,0
2024-07-15,6343054,6.26373,6.26373,0
2024-07-16,6264415,6.31049,6.31049,0
2024-07-17,5954966,6.41573,6.41573,0
2024-07-18,5183275,6.69971,6.69971,0
2024-07-19,4122119,7.11933,7.11933,0
2024-07-20,4445777,6.99435,6.99435,0
2024-07-21,4902387,6.83576,6.83576,0
2024-07-22,4268439,7.06381,7.06381,0
2024-07-23,4728830,6.89508,6.89508,0
2024-07-24,4618769,5.00144,5.00144,0
2024-07-25,5635916,4.70411,4.70411,0
2024-07-26,4739055,4.96655,4.96655,0
2024-07-27,4061152,5.16104,5.16104,0
2024-07-28,3946660,5.19242,5.19242,0
2024-07-29,3757480,5.25419,5.25419,0
2024-07-30,3619560,6.62992,6.62992,0
2024-07-31,4928565,4.92621,4.92621,0
2024-08-01,5134564,4.85426,4.85426,0
2024-08-02,5184076,4.82334,4.82334,0
2024-08-03,6275437,4.51498,4.51498,0
2024-08-04,7879117,4.11318,4.11318,0
2024-08-05,8983719,3.60663,3.60663,0
2024-08-06,7448530,3.97773,3.97773,0
2024-08-07,7698956,3.94515,3.94515,0
2024-08-08,6551662,4.2687,4.2687,0
2024-08-09,6191992,4.36767,4.36767,0
2024-08-10,6579697,4.26717,4.26717,0
2024-08-11,6864288,4.1925,4.1925,0
2024-08-12,7097131,4.12342,4.12342,0
2024-08-13,7130375,4.12559,4.12559,0
2024-08-14,7222615,4.10907,4.10907,0
2024-08-15,7203512,4.10658,4.10658,0
2024-08-16,6735397,4.2149,4.2149,0
2024-08-17,6562918,4.25854,4.25854,0
2024-08-18,7046850,4.12252,4.12252,0
2024-08-19,6613229,4.22577,4.22577,0
2024-08-20,6795107,4.18154,4.18154,0
2024-08-21,6483275,4.2719,4.2719,0
2024-08-22,6387018,4.29362,4.29362,0
2024-08-23,5050039,4.70606,4.70606,0
2024-08-24,4874643,4.77472,4.77472,0
2024-08-25,4587954,4.85435,4.85435,0
2024-08-26,4691009,4.82397,4.82397,0
2024-08-27,5588367,4.53863,4.53863,0
2024-08-28,6151084,4.35805,4.35805,0
2024-08-29,6097518,4.36516,4.36516,0
2024-08-30,6140077,4.35272,4.35272,0
2024-08-31,5784728,4.44793,4.44793,0
2024-09-01,6493727,4.26299,4.26299,0
2024-09-02,6554925,4.24946,4.24946,0
2024-09-03,6345758,4.30517,4.30517,0
2024-09-04,6684179,4.22071,4.22071,0
2024-09-05,6139134,4.36632,4.36632,0
2024-09-06,6984411,4.12596,4.12596,0
2024-09-07,7093357,4.1003,4.1003,0
2024-09-08,7860435,3.91731,3.91731,0
2024-09-09,7057186,4.12654,4.12654,0
2024-09-10,6612313,3.58169,3.58169,0
2024-09-11,7194359,3.45795,3.45795,0
2024-09-12,7969196,3.30613,3.30613,0
2024-09-13,7626398,3.38705,3.38705,0
2024-09-14,7575388,3.42121,3.42121,0
2024-09-15,7394765,3.4565,3.4565,0
2024-09-16,6460581,3.64168,3.64168,0
2024-09-17,7199511,3.47297,3.47297,0
2024-09-18,6745892,3.58715,3.58715,0
2024-09-19,5438153,3.88741,3.88741,0
2024-09-20,4797926,4.04001,4.04001,0
2024-09-21,3875304,4.27724,4.27724,0
2024-09-22,5485656,3.89327,3.89327,0
2024-09-23,5210177,3.97018,3.97018,0
2024-09-24,5255996,3.96594,3.96594,0
2024-09-25,4814670,4.07754,4.07754,0
2024-09-26,5353736,3.96324,3.96324,0
2024-09-27,4344751,4.22419,4.22419,0
2024-09-28,4231359,4.26202,4.26202,0
