date,tvl,apy,apy_base,apy_reward
2024-12-26,2133,14.22464,14.22464,0.0
2024-12-27,306349,1.49575,1.49575,0.0
2024-12-28,2284324,0.78764,0.78764,0.0
2024-12-29,3847436,2.85547,2.85547,0.0
2024-12-30,3232680,4.36944,4.36944,0.0
2024-12-31,2574037,6.52335,6.52335,0.0
2025-01-01,646855,13.20122,13.20122,0.0
2025-01-02,440023,18.40773,18.40773,0.0
2025-01-03,565069,13.88202,13.88202,0.0
2025-01-04,523105,14.17566,14.17566,0.0
2025-01-05,550347,13.96226,13.96226,0.0
2025-01-06,1131528,11.79467,11.79467,0.0
2025-01-07,376711,33.03081,33.03081,0.0
2025-01-08,1251712,10.75871,10.75871,0.0
2025-01-09,2978374,3.90564,3.90564,0.0
2025-01-10,1117441,9.55227,9.55227,0.0
2025-01-11,1663314,7.64873,7.64873,0.0
2025-01-12,1518913,9.89175,9.89175,0.0
2025-01-13,4604981,4.38397,4.38397,0.0
2025-01-14,1935041,9.181,9.181,0.0
2025-01-15,2270071,8.58549,8.58549,0.0
2025-01-16,2329800,8.44915,8.44915,0.0
2025-01-17,2470692,8.86225,8.86225,0.0
2025-01-18,2275247,9.44106,9.44106,0.0
2025-01-19,1743819,10.84537,10.84537,0.0
2025-01-20,1098407,12.88999,12.88999,0.0
2025-01-21,1561817,11.28857,11.28857,0.0
2025-01-22,1561817,11.2903,11.2903,0.0
2025-01-23,2159262,10.086,10.086,0.0
2025-01-24,3073663,7.92847,7.92847,0.0
2025-01-25,3031264,8.13796,8.13796,0.0
2025-01-26,3135907,7.97065,7.97065,0.0
2025-01-27,4988213,5.50324,5.50324,0.0
2025-01-28,4108081,6.53173,6.53173,0.0
2025-01-29,5444302,4.10826,4.10826,0.0
2025-01-30,5583310,3.80285,3.80285,0.0
2025-01-31,5540700,3.86983,3.86983,0.0
2025-02-01,5521500,3.90072,3.90072,0.0
2025-02-02,4165673,6.3347,6.3347,0.0
2025-02-03,951197,13.14028,13.14028,0.0
2025-02-04,1315683,11.54082,11.54082,0.0
2025-02-05,1199707,12.09542,12.09542,0.0
2025-02-06,1883250,9.98146,9.98146,0.0
2025-02-07,2134526,9.31192,9.31192,0.0
2025-02-08,1414296,11.91409,11.91409,0.0
2025-02-09,1732924,10.9186,10.9186,0.0
