timestamp,tvlUsd,apy,apyBase,apyReward,il7d,apyBase7d
2024-12-16T23:01:28.992Z,4345943,9.91459,9.91459,0.0,,
2024-12-17T23:01:45.204Z,5371600,12.59251,12.59251,0.0,,
2024-12-18T23:04:00.169Z,6436744,8.64462,8.64462,0.0,,
2024-12-19T23:02:47.712Z,5288747,4.8333,4.8333,0.0,,
2024-12-20T23:01:27.001Z,5071585,13.61296,13.61296,0.0,,
2024-12-21T23:03:45.588Z,5811182,8.21343,8.21343,0.0,,
2024-12-22T23:01:38.167Z,6405730,8.16427,8.16427,0.0,,
2024-12-23T23:03:33.035Z,4128121,7.6544,7.6544,0.0,,
2024-12-24T23:01:44.170Z,3999559,13.17744,13.17744,0.0,,
2024-12-25T23:01:36.288Z,2949492,9.45534,9.45534,0.0,,
2024-12-26T23:03:27.965Z,3085345,9.87394,9.87394,0.0,,
2024-12-27T23:01:20.131Z,2669644,17.15333,17.15333,0.0,,
2024-12-28T23:01:23.751Z,3378929,14.79974,14.79974,0.0,,
2024-12-29T23:01:24.949Z,3144765,6.9171,6.9171,0.0,,
2024-12-30T23:02:36.863Z,2887998,12.26742,12.26742,0.0,,
2024-12-31T23:03:25.825Z,3001789,8.3245,8.3245,0.0,,
2025-01-01T23:03:41.081Z,2943901,7.1849,7.1849,0.0,,
2025-01-02T23:02:27.939Z,2651639,8.03294,8.03294,0.0,,
2025-01-03T23:01:49.583Z,2359257,7.9236,7.9236,0.0,,
2025-01-04T23:03:38.657Z,2316625,8.4645,8.4645,0.0,,
2025-01-05T23:01:41.917Z,2065750,5.69227,5.69227,0.0,,
2025-01-06T23:02:58.132Z,1888316,6.60932,6.60932,0.0,,
2025-01-07T23:01:57.949Z,1553484,6.08587,6.08587,0.0,,
2025-01-08T23:02:30.294Z,1429596,9.02739,9.02739,0.0,,
2025-01-09T23:01:24.628Z,1394084,9.71945,9.71945,0.0,,
2025-01-10T23:03:51.783Z,1390411,7.78794,7.78794,0.0,,
2025-01-11T23:01:18.021Z,750974,7.82585,7.82585,0.0,,
2025-01-12T23:01:18.465Z,736635,7.18917,7.18917,0.0,,
2025-01-13T23:01:27.933Z,712553,12.47514,12.47514,0.0,,
2025-01-14T23:01:46.411Z,711910,6.48036,6.48036,0.0,,
2025-01-15T23:02:21.270Z,669365,4.67146,4.67146,0.0,,
2025-01-16T23:02:51.877Z,530482,5.14772,5.14772,0.0,,
2025-01-17T23:01:36.840Z,524266,6.39127,6.39127,0.0,,
2025-01-18T23:01:30.598Z,524440,7.47611,7.47611,0.0,,
2025-01-19T23:01:26.320Z,524207,8.79036,8.79036,0.0,,
2025-01-20T23:01:26.775Z,524288,10.0947,10.0947,0.0,,
2025-01-21T22:01:33.728Z,519002,7.31158,7.31158,0.0,,
