timestamp,tvlUsd,apy,apyBase,apyReward,il7d,apyBase7d
2025-06-22T23:02:47.257Z,167384,21.59345,20.892,0.70145,,
2025-06-23T23:01:42.645Z,167423,6.92632,6.12128,0.80504,,
2025-06-24T23:01:30.294Z,167459,7.2166,6.3461,0.8705,,
2025-06-25T23:01:38.617Z,167502,6.29818,5.42941,0.86877,,
2025-06-26T23:01:28.783Z,167535,7.16248,6.31789,0.84459,,
2025-06-27T23:01:36.919Z,167546,6.88878,6.05245,0.83633,,
2025-06-28T23:01:39.226Z,167579,8.36303,7.51178,0.85125,,
2025-06-29T23:01:29.742Z,167613,8.30893,7.4475,0.86143,,
2025-06-30T23:02:38.066Z,167649,10.55819,9.718,0.84019,,
2025-07-01T23:01:47.392Z,167709,8.30718,7.50998,0.79719,,
2025-07-02T23:02:09.333Z,167744,11.27927,10.40468,0.87459,,
2025-07-03T23:01:19.835Z,167766,11.27297,10.3983,0.87468,,
2025-07-04T23:02:56.597Z,167818,8.36376,7.53801,0.82575,,
2025-07-05T23:10:48.580Z,167864,11.42984,10.58639,0.84345,,
2025-07-06T23:01:42.093Z,167895,11.3264,10.45458,0.87183,,
2025-07-07T23:04:16.803Z,167930,7.79365,6.95728,0.83637,,
2025-07-08T23:02:37.002Z,167966,6.08361,5.30658,0.77703,,
2025-07-09T23:01:52.815Z,167983,6.26719,5.68206,0.58513,,
2025-07-10T23:02:51.970Z,168014,6.86489,6.21052,0.65437,,
2025-07-11T23:01:50.286Z,168043,6.99308,6.33946,0.65362,,
2025-07-12T23:02:23.201Z,168070,11.71087,10.78842,0.92244,,
2025-07-13T23:02:33.490Z,138117,10.68126,9.62092,1.06035,,
2025-07-14T21:02:27.422Z,138147,12.0064,11.00115,1.00526,,
