timestamp,tvlUsd,apy,apyBase,apyReward,il7d,apyBase7d
2025-02-04T23:01:18.959Z,15002,11.38771,10.0933,1.29441,,
2025-02-05T21:01:33.115Z,15056,12.90341,11.6321,1.2713,,
2025-02-06T23:01:21.872Z,346250,9.37207,7.98867,1.38341,,
2025-02-07T23:01:36.468Z,345396,9.02729,7.6557,1.37159,,
2025-02-08T23:01:49.569Z,345365,8.41982,6.78836,1.63145,,
2025-02-09T23:02:18.378Z,347186,7.11683,5.49347,1.62335,,
2025-02-10T23:01:32.046Z,345101,6.93937,5.25329,1.68608,,
2025-02-11T23:01:22.133Z,345088,6.85483,5.23258,1.62225,,
2025-02-12T23:01:29.529Z,345173,6.32266,4.76304,1.55962,,
2025-02-13T23:02:45.625Z,345448,6.83342,5.22328,1.61013,,
2025-02-14T23:01:33.301Z,345752,7.15882,5.48555,1.67327,,
2025-02-15T23:01:24.047Z,346575,5.78152,4.05202,1.7295,,
2025-02-16T23:01:26.825Z,346297,7.77956,6.20745,1.57211,,
2025-02-17T23:17:23.843Z,343094,7.57331,5.93348,1.63983,,
2025-02-18T23:01:29.372Z,345686,6.81045,5.27335,1.53711,,
2025-02-19T23:01:49.488Z,344683,6.39236,4.64317,1.74919,,
2025-02-20T23:01:42.886Z,345450,6.39067,4.53583,1.85484,,
2025-02-21T23:01:39.457Z,346579,6.84092,5.16471,1.67621,,
2025-02-22T23:01:51.863Z,345710,6.7745,4.88577,1.88873,,
2025-02-23T23:01:29.566Z,346876,6.29644,4.41067,1.88577,,
2025-02-24T23:01:48.621Z,344882,6.28645,4.56413,1.72232,,
2025-02-25T23:02:32.443Z,346565,6.26559,4.98201,1.28358,,
2025-02-26T23:01:46.468Z,347652,6.17604,4.7086,1.46744,,
2025-02-27T23:17:39.332Z,347627,5.82715,4.13543,1.69172,,
2025-02-28T23:01:28.037Z,346025,6.9919,5.49082,1.50108,,
2025-03-01T23:01:54.480Z,341031,6.43115,5.01064,1.42051,,
2025-03-02T23:01:27.765Z,340602,6.86593,5.30628,1.55965,,
2025-03-03T23:01:41.833Z,338769,5.55724,4.31381,1.24344,,
2025-03-04T23:01:23.503Z,339743,4.92846,3.74452,1.18394,,
2025-03-05T23:01:34.884Z,340881,4.76296,3.51945,1.24351,,
2025-03-06T23:01:33.428Z,340753,4.95426,3.86535,1.08891,,
2025-03-07T23:02:46.782Z,340590,5.05316,3.9931,1.06007,,
2025-03-08T23:01:27.199Z,339779,4.90939,3.86544,1.04395,,
2025-03-09T23:01:31.648Z,340506,4.62315,3.7647,0.85845,,
2025-03-10T23:01:35.752Z,339992,4.41887,3.63444,0.78443,,
2025-03-11T23:01:54.992Z,339926,4.00187,3.16463,0.83724,,
2025-03-12T14:33:13.780Z,340861,3.9549,3.0664,0.8885,,
2025-03-13T23:17:25.096Z,339932,4.07416,3.19549,0.87867,,
2025-03-14T23:02:30.532Z,340568,4.03023,3.11888,0.91134,,
2025-03-15T23:01:29.378Z,340568,4.03023,3.11888,0.91134,,
2025-03-16T23:02:32.247Z,340568,4.03046,3.11904,0.91142,,
2025-03-17T23:01:30.139Z,340568,4.03023,3.11888,0.91134,,
2025-03-18T23:01:33.298Z,341093,6.29142,5.5091,0.78232,,
2025-03-19T23:01:26.186Z,340433,5.47862,4.59419,0.88443,,
2025-03-20T23:01:34.941Z,340365,5.44556,4.57146,0.8741,,
2025-03-21T23:01:44.122Z,340575,5.55335,4.68425,0.86909,,
2025-03-22T23:01:32.619Z,340347,4.61049,3.67467,0.93582,,
2025-03-23T23:01:44.643Z,340817,4.85414,3.95264,0.9015,,
2025-03-24T23:01:35.044Z,340478,4.47547,3.49458,0.98089,,
2025-03-25T23:02:00.309Z,340349,4.40672,3.38373,1.02298,,
2025-03-26T23:01:45.682Z,341811,4.3502,3.30541,1.04479,,
2025-03-27T23:01:31.884Z,341888,3.86381,2.69608,1.16773,,
2025-03-28T23:02:33.452Z,341377,3.77449,2.77756,0.99693,,
2025-03-29T23:02:59.454Z,340848,3.63944,2.71611,0.92333,,
2025-03-30T23:01:28.048Z,340663,3.42972,2.53703,0.89269,,
2025-03-31T23:17:28.124Z,341638,3.71968,2.86388,0.8558,,
2025-04-01T23:01:34.583Z,341227,4.73806,3.91786,0.8202,,
2025-04-02T23:01:21.907Z,340923,4.1109,3.31862,0.79228,,
2025-04-03T23:01:41.361Z,340750,4.10394,3.35768,0.74626,,
