date,tvl,apy,apy_base,apy_reward
2024-12-04,280542,0,0,0
2024-12-05,1352881,0,0,0
2024-12-06,1350944,0,0,0
2024-12-07,1352578,0,0,0
2024-12-08,1354564,0,0,0
2024-12-09,1358895,0,0,0
2024-12-10,1354390,0,0,0
2024-12-11,1355064,0,0,0
2024-12-12,1357919,0,0,0
2024-12-13,1870435,0,0,0
2024-12-14,1873145,0,0,0
2024-12-15,1873921,0,0,0
2024-12-16,1875629,0,0,0
2024-12-17,1875465,0,0,0
2024-12-18,2705218,0,0,0
2024-12-19,2702145,0,0,0
2024-12-20,2701731,0,0,0
2024-12-21,2705234,0,0,0
2024-12-22,2709603,0,0,0
2024-12-23,2708391,0,0,0
2024-12-24,2704610,0,0,0
2024-12-25,2711356,0,0,0
2024-12-26,2716419,0,0,0
2024-12-27,2708737,0,0,0
2024-12-28,2706070,0,0,0
2024-12-29,2706360,0,0,0
2024-12-30,2703706,0,0,0
2024-12-31,2717453,0,0,0
2025-01-01,2714479,0,0,0
2025-01-02,2711638,0,0,0
2025-01-03,2712550,0,0,0
2025-01-04,2721853,0,0,0
2025-01-05,2717561,0,0,0
2025-01-06,2717606,0,0,0
2025-01-07,2711316,0,0,0
2025-01-08,2717944,0,0,0
2025-01-09,2720185,0,0,0
2025-01-10,2725067,0,0,0
2025-01-11,2724041,0,0,0
2025-01-12,2726254,0,0,0
2025-01-13,2728869,0,0,0
2025-01-14,2723793,0,0,0
2025-01-15,2728027,0,0,0
2025-01-16,2728844,0,0,0
2025-01-17,2015241,0,0,0
2025-01-18,2015261,0,0,0
2025-01-19,2013788,0,0,0
2025-01-20,2012333,0,0,0
2025-01-21,2018450,0,0,0
2025-01-22,2016714,0,0,0
2025-01-23,2017960,0,0,0
2025-01-24,2023762,0,0,0
2025-01-25,2020245,0,0,0
2025-01-26,2019591,0,0,0
2025-01-27,2024047,0,0,0
2025-01-28,2020178,0,0,0
2025-01-29,2021073,0,0,0
2025-01-30,2027482,0,0,0
2025-01-31,2029431,0,0,0
2025-02-01,2023150,0,0,0
2025-02-02,2020895,0,0,0
2025-02-03,2030228,0,0,0
2025-02-04,2017687,0,0,0
2025-02-05,2031408,0,0,0
2025-02-06,2033816,0,0,0
2025-02-07,2028299,0,0,0
2025-02-08,2028265,0,0,0
2025-02-09,2038956,0,0,0
2025-02-10,2024925,0,0,0
2025-02-11,2027303,0,0,0
2025-02-12,2025843,0,0,0
2025-02-13,2027920,0,0,0
2025-02-14,2030575,0,0,0
2025-02-15,2034700,0,0,0
2025-02-16,2032911,0,0,0
2025-02-17,2013918,0,0,0
2025-02-18,2028588,0,0,0
2025-02-19,1895644,0,0,0
2025-02-20,1901482,0,0,0
2025-02-21,1906941,0,0,0
2025-02-22,1903314,0,0,0
2025-02-23,1910711,0,0,0
2025-02-24,1956873,0,0,0
2025-02-25,1965658,0,0,0
2025-02-26,1960939,0,0,0
2025-02-27,1983826,0,0,0
2025-02-28,1972277,0,0,0
2025-03-01,1979289,0,0,0
2025-03-02,1977199,0,0,0
2025-03-03,1967549,0,0,0
2025-03-04,1972275,0,0,0
2025-03-05,1980150,0,0,0
2025-03-06,1975260,0,0,0
2025-03-07,1977786,0,0,0
2025-03-08,2079649,0,0,0
2025-03-09,2083544,0,0,0
2025-03-10,2080468,0,0,0
2025-03-11,1991837,0,0,0
2025-03-12,1997365,0,0,0
2025-03-13,1994264,0,0,0
2025-03-14,1994264,0,0,0
2025-03-15,1994264,0,0,0
2025-03-16,1994264,0,0,0
2025-03-17,1994264,0,0,0
2025-03-18,1994264,0,0,0
2025-03-19,1994264,0,0,0
2025-03-20,1994264,0,0,0
2025-03-21,1994264,0,0,0
2025-03-22,1994264,0,0,0
2025-03-23,1994264,0,0,0
2025-03-24,1994264,0,0,0
2025-03-25,1994264,0,0,0
2025-03-26,1994264,0,0,0
2025-03-27,1994264,0,0,0
2025-03-28,1994264,0,0,0
2025-03-29,1994264,0,0,0
2025-03-30,3003039,0,0,0
2025-03-31,3003039,0,0,0
2025-04-01,3003039,0,0,0
2025-04-02,3003209,0,0,0
2025-04-03,3003209,0,0,0
2025-04-04,3003209,0,0,0
2025-04-05,3144582,0,0,0
2025-04-06,2141178,0,0,0
2025-04-07,2141178,0,0,0
2025-04-08,2141178,0,0,0
2025-04-09,2141178,0,0,0
2025-04-10,2141178,0,0,0
2025-04-11,2141178,0,0,0
2025-04-12,2141178,0,0,0
2025-04-13,2141178,0,0,0
2025-04-14,2141178,0,0,0
2025-04-15,2223411,0,0,0
2025-04-16,2223411,0,0,0
2025-04-17,2223411,0,0,0
2025-04-18,2372456,0,0,0
2025-04-19,2399044,0,0,0
2025-04-20,2399044,0,0,0
2025-04-21,2399044,0,0,0
2025-04-22,2399044,0,0,0
2025-04-23,2399044,0,0,0
2025-04-24,2399044,0,0,0
2025-05-20,3178046,0,0,0
2025-05-21,3178046,0,0,0
2025-05-22,3178046,0,0,0
2025-05-23,3035084,0,0,0
2025-05-24,3035084,0,0,0
2025-05-25,3035084,0,0,0
2025-05-26,3035084,0,0,0
2025-05-27,3035084,0,0,0
2025-05-28,3035084,0,0,0
2025-05-29,3035084,0,0,0
2025-05-30,3035084,0,0,0
2025-05-31,3082427,0,0,0
2025-06-01,3082427,0,0,0
2025-06-02,3082427,0,0,0
2025-06-03,3082427,0,0,0
2025-06-04,3019669,0,0,0
2025-06-05,2739876,0,0,0
