date,tvl,apy,apy_base,apy_reward
2025-01-08,48586,2.61569,2.61569,0.0
2025-01-09,84685,8.73691,8.73691,0.0
2025-01-10,64660,10.14271,10.14271,0.0
2025-01-11,64643,10.14447,10.14447,0.0
2025-01-12,325629,3.85571,3.85571,0.0
2025-01-13,115592,9.00967,9.00967,0.0
2025-01-14,186839,5.21883,5.21883,0.0
2025-01-15,186911,5.22003,5.22003,0.0
2025-01-16,186870,5.22124,5.22124,0.0
2025-01-17,186911,5.22245,5.22245,0.0
2025-01-18,186737,5.22366,5.22366,0.0
2025-01-19,186703,5.22486,5.22486,0.0
2025-01-20,186683,5.22607,5.22607,0.0
2025-01-21,186911,5.22728,5.22728,0.0
2025-01-22,186870,5.22849,5.22849,0.0
2025-01-23,186911,5.22128,5.22128,0.0
2025-01-24,186912,5.22245,5.22245,0.0
2025-01-25,167039,5.77253,5.77253,0.0
2025-01-26,167046,5.77385,5.77385,0.0
2025-01-27,53220,11.63822,11.63822,0.0
2025-01-28,167456,5.76221,5.76221,0.0
2025-01-29,166986,5.79311,5.79311,0.0
2025-01-30,167565,5.76485,5.76485,0.0
2025-01-31,167529,5.76616,5.76616,0.0
2025-02-01,169534,5.70817,5.70817,0.0
2025-02-02,169528,5.70947,5.70947,0.0
2025-02-03,167732,5.77012,5.77012,0.0
2025-02-04,167565,5.77144,5.77144,0.0
2025-02-05,142946,7.10951,7.10951,0.0
2025-02-06,142946,7.11106,7.11106,0.0
2025-02-07,142946,7.1126,7.1126,0.0
2025-02-08,162672,5.92546,5.92546,0.0
2025-02-09,132299,7.64217,7.64217,0.0
2025-02-10,132299,7.64378,7.64378,0.0
2025-02-11,265252,1.80969,1.80969,0.0
2025-02-12,147393,3.81553,3.81553,0.0
2025-02-13,142122,3.92684,3.92684,0.0
2025-02-14,142122,3.92775,3.92775,0.0
2025-02-15,82766,8.44939,8.44939,0.0
2025-02-16,123899,5.06117,5.06117,0.0
2025-02-17,32882,13.98815,13.98815,0.0
2025-02-18,52440,11.81881,11.81881,0.0
2025-02-19,52463,11.8205,11.8205,0.0
2025-02-20,52472,11.8222,11.8222,0.0
2025-02-21,50644,11.98032,11.98032,0.0
2025-02-22,55032,11.52196,11.52196,0.0
2025-02-23,71380,9.88975,9.88975,0.0
2025-02-24,71371,9.89151,9.89151,0.0
2025-02-25,70855,9.92599,9.92599,0.0
2025-02-26,70824,9.92769,9.92769,0.0
2025-02-27,70826,9.92938,9.92938,0.0
2025-02-28,70885,9.93124,9.93124,0.0
2025-03-01,70894,9.93298,9.93298,0.0
2025-03-02,70922,9.93479,9.93479,0.0
